,filename,format,handler,bbox,tbox,crs,zenodo_record_id
0,Metadata_Sonozotz.xlsx,folder,,,,,3877571
1,docProps,folder,,,,,3877571
2,core.xml,xml,,,,,3877571
3,app.xml,xml,,,,,3877571
4,_rels,folder,,,,,3877571
5,.rels,undetected,,,,,3877571
6,[Content_Types].xml,xml,,,,,3877571
7,xl,folder,,,,,3877571
8,sharedStrings.xml,xml,,,,,3877571
9,workbook.xml,xml,,,,,3877571
10,_rels,folder,,,,,3877571
11,workbook.xml.rels,rels,,,,,3877571
12,worksheets,folder,,,,,3877571
13,sheet1.xml,xml,,,,,3877571
14,styles.xml,xml,,,,,3877571
15,theme,folder,,,,,3877571
16,theme1.xml,xml,,,,,3877571
17,3877571,repository,geoextent:0.7.0,,,,3877571
18,README.pdf,pdf,handleRaster,,,,4716310
19,McLeish_etal_Abundance_Dryad.csv,csv,handleCSV,,,,4716310
20,McLeish_etal_LDA_Dryad.csv,csv,handleCSV,,,,4716310
21,McLeish_etal_Spatial_Dryad.csv,csv,handleCSV,"POLYGON ((-3.599064 1.0,96 1,96 48,-3.599064 48.0,-3.599064 1.0))",,4326,4716310
22,4716310,repository,geoextent:0.7.0,"POLYGON ((-3.599064 1.0,96 1,96 48,-3.599064 48.0,-3.599064 1.0))",,4326,4716310
23,Niassy_et_al_FAMEWS_Plos.xlsx,folder,,,,,4737392
24,docProps,folder,,,,,4737392
25,core.xml,xml,,,,,4737392
26,app.xml,xml,,,,,4737392
27,_rels,folder,,,,,4737392
28,.rels,undetected,,,,,4737392
29,[Content_Types].xml,xml,,,,,4737392
30,xl,folder,,,,,4737392
31,sharedStrings.xml,xml,,,,,4737392
32,workbook.xml,xml,,,,,4737392
33,_rels,folder,,,,,4737392
34,workbook.xml.rels,rels,,,,,4737392
35,worksheets,folder,,,,,4737392
36,sheet1.xml,xml,,,,,4737392
37,styles.xml,xml,,,,,4737392
38,theme,folder,,,,,4737392
39,theme1.xml,xml,,,,,4737392
40,4737392,repository,geoextent:0.7.0,,,,4737392
41,Land%20savings%20account%20module.xlsx,folder,,,,,772051
42,docProps,folder,,,,,772051
43,core.xml,xml,,,,,772051
44,app.xml,xml,,,,,772051
45,custom.xml,xml,,,,,772051
46,_rels,folder,,,,,772051
47,.rels,undetected,,,,,772051
48,[Content_Types].xml,xml,,,,,772051
49,xl,folder,,,,,772051
50,sharedStrings.xml,xml,,,,,772051
51,workbook.xml,xml,,,,,772051
52,calcChain.xml,xml,,,,,772051
53,_rels,folder,,,,,772051
54,workbook.xml.rels,rels,,,,,772051
55,worksheets,folder,,,,,772051
56,_rels,folder,,,,,772051
57,sheet4.xml.rels,rels,,,,,772051
58,sheet3.xml.rels,rels,,,,,772051
59,sheet1.xml.rels,rels,,,,,772051
60,sheet5.xml.rels,rels,,,,,772051
61,sheet2.xml.rels,rels,,,,,772051
62,sheet5.xml,xml,,,,,772051
