Type of record,Number open access records,Number open access records with geometadata,% records with metadata,% proportion over total geometadata
publication,997743,13970,1.4001601614844705,99.8499035093989
poster,8397,0,0.0,0.0
presentation,21225,0,0.0,0.0
dataset,75542,19,0.025151571311323503,0.1358015867343292
image,601753,0,0.0,0.0
video,3286,0,0.0,0.0
software,53737,1,0.001860915198094423,0.007147451933385748
lesson,2555,0,0.0,0.0
physicalobject,28,0,0.0,0.0
other,6168,1,0.016212710765239946,0.007147451933385748
record,1770435,13991,0.7902577615105892,100.0
